Date,Open,High,Low,Close,Volume,RSI,ATR,EMA_slow,EMA_fast,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TechnicalSignal,LSTMsignal,TotalSignal,pointpos
2024-05-29 21:35:00+02:00,526.82,527.19,526.75,527.11,3360.38,65.61187248639926,0.38114238494317726,527.169510422229,526.6417111548253,526.0825023790625,526.5086666666667,526.934830954271,0.16188310452790955,1.205518213074323,1,1,0,0,0.0
2024-05-29 21:40:00+02:00,527.1,527.1,526.62,526.71,4631.65,51.882022725481654,0.396693472808439,527.1604112059472,526.6461168867721,526.0847407470587,526.5166666666667,526.9485925862746,0.1640692296950094,0.7238038105109353,1,0,0,0,0.0
2024-05-29 21:45:00+02:00,526.7,526.81,526.4,526.41,5870.41,44.1781419502101,0.3985944052643717,527.1455515781067,526.6308835392384,526.0808903140899,526.514,526.9471096859102,0.16451972251835792,0.379938034886599,1,0,0,0,0.0
2024-05-29 21:50:00+02:00,526.41,526.52,525.73,525.81,10165.13,33.217289505635016,0.4545094902265991,527.1191050122036,526.5779233109005,525.9774927404449,526.4806666666667,526.9838405928886,0.19114621222755174,-0.1664362278293674,1,0,2,0,520.4727
2024-05-29 21:55:00+02:00,525.81,526.13,525.56,526.11,30390.69,41.30728990596057,0.4710081344799492,527.0991227347342,526.5477347101972,525.9296180266224,526.4493333333334,526.9690486400443,0.19744171900466415,0.17353921565171357,1,0,0,0,0.0
2024-05-30 15:30:00+02:00,524.52,524.99,524.21,524.42,10474.4,23.493527118886135,0.675149829554239,527.046070799393,526.4104615030877,525.4140945177742,526.3333333333334,527.2525721488926,0.3492991066089412,-0.5407161343428918,1,0,0,0,0.0
2024-05-30 15:35:00+02:00,524.43,524.52,523.92,524.32,7098.39,22.845779639626873,0.6644141396179224,526.992089199405,526.2755930190176,525.0129095913129,526.202,527.3910904086871,0.45195206733805393,-0.29136118929674787,1,0,2,0,518.6808
2024-05-30 15:40:00+02:00,524.32,524.63,524.26,524.38,3879.83,24.23834536119664,0.6223549768153627,526.940364660803,526.1532966952101,524.711647337834,526.0826666666667,527.4536859954993,0.5212182098754939,-0.12094918388803488,1,0,0,0,0.0
2024-05-30 15:45:00+02:00,524.38,524.49,524.13,524.23,3460.26,23.08113916002755,0.58487569441317,526.8866940734604,526.0292130374546,524.4137766089402,525.9453333333333,527.4768900577265,0.5824014882635886,-0.05999667071196108,1,0,0,0,0.0
2024-05-30 15:50:00+02:00,524.23,524.56,524.09,524.48,2191.37,29.32931606866031,0.568464880925562,526.839036765075,525.9292638092318,524.2097520063458,525.8313333333333,527.4529146603209,0.6167686192102991,0.08332853528731475,1,0,0,0,0.0
2024-05-30 15:55:00+02:00,524.47,524.65,524.16,524.59,3702.6,32.028649536866254,0.5572556122219117,526.7945013835883,525.8428596925072,524.0434138295925,525.7066666666667,527.3699195037409,0.6327684020521697,0.16431241186668105,1,0,0,0,0.0
2024-05-30 16:00:00+02:00,524.61,524.77,524.21,524.72,4242.29,35.2750146572412,0.5576476676187736,526.7534221482697,525.7704171317004,523.9183511134104,525.59,527.2616488865897,0.6361037639946159,0.23977789026770416,1,0,0,0,0.0
2024-05-30 16:05:00+02:00,524.72,524.82,524.37,524.42,2999.24,31.42642319226626,0.5422694293875268,526.707215769096,525.6832934457842,523.7853379366319,525.4266666666667,527.0679953967016,0.6247603458908986,0.19333788891716888,1,0,0,0,0.0
2024-05-30 16:10:00+02:00,524.42,524.46,523.37,523.64,6268.19,23.895060238825298,0.6205166537607418,526.6464788231733,525.5514680621852,523.5503935483877,525.212,526.8736064516123,0.6327374285478354,0.026963801062934317,1,0,0,0,0.0
2024-05-30 16:15:00+02:00,523.63,523.92,523.46,523.74,3493.42,26.40738481874484,0.5975857032234819,526.5889247870708,525.4345991549475,523.3942357492358,525.006,526.6177642507641,0.6139984117378345,0.10726266282437757,1,0,0,0,0.0
2024-05-30 16:20:00+02:00,523.73,524.29,523.69,524.08,4068.77,34.567442086749644,0.5979306027629716,526.539243108119,525.3472056610799,523.400228651082,524.804,526.207771348918,0.5349697597266733,0.24212324515741623,1,0,0,0,0.0
2024-05-30 16:25:00+02:00,524.09,524.2,523.76,524.0,2246.12,33.593609723302905,0.5753690880825548,526.488961066374,525.2602891668167,523.4195185635101,524.6233333333333,525.8271481031566,0.4589253635268066,0.24110081178648912,1,0,0,0,0.0
2024-05-30 16:30:00+02:00,523.98,524.08,523.56,523.6,2617.06,29.04737960587402,0.5674592183564892,526.4317539165448,525.1531737366995,523.4120546889379,524.436,525.4599453110621,0.39049390623912433,0.09177507286358118,1,0,2,0,518.3244
2024-05-30 16:35:00+02:00,523.59,523.83,523.29,523.39,3493.38,26.92208006809762,0.5635364728770017,526.3715211657221,525.0394205923964,523.3414807258985,524.2746666666667,525.2078526074349,0.3559912389821973,0.02599657366332592,1,0,0,0,0.0
2024-05-30 16:40:00+02:00,523.39,523.49,523.06,523.4,2891.35,27.203892107771782,0.544459833894582,526.3126791624405,524.9336515219193,523.4561254041357,524.0939999999999,524.7318745958642,0.2434199192756332,-0.043994073834920905,1,0,0,0,0.0
2024-05-30 16:45:00+02:00,523.4,523.64,523.34,523.52,3017.12,30.763851182616964,0.5095370004810638,526.2573785849664,524.8424481979246,523.3765321300251,524.034,524.6914678699749,0.25092565366937264,0.10910637350259536,1,0,1,1,528.8764
2024-05-30 16:50:00+02:00,523.54,523.74,523.3,523.51,2888.28,30.62517824522264,0.499603143269491,526.2029750486305,524.7564837980585,523.3057448553776,523.98,524.6542551446224,0.25735911470758693,0.15146724963942668,1,0,1,1,528.9774
2024-05-30 16:55:00+02:00,523.51,523.62,523.39,523.41,1363.11,29.164472845994226,0.4610884085167092,526.147668612024,524.6696138756032,523.2298072579356,523.9153333333334,524.6008594087311,0.26169345761889307,0.13142661419539842,1,0,0,0,0.0
2024-05-30 17:00:00+02:00,523.38,523.65,523.1,523.12,2411.85,25.279344996599118,0.4737900644428871,526.0877147781224,524.5696387868546,523.1080830349694,523.8413333333333,524.5745836316972,0.279951295060314,0.008126123546925207,1,0,0,0,0.0
2024-05-30 17:05:00+02:00,523.11,523.54,522.89,523.51,2529.14,37.683765653292255,0.49896291237961427,526.0366709211298,524.5012749941544,523.0813034521873,523.7766666666668,524.4720298811462,0.2655189735368653,0.30825368590544133,1,0,0,0,0.0
2024-05-30 17:10:00+02:00,523.5,523.58,523.35,523.39,1287.98,35.65986302011363,0.4605396391825291,525.9842615959589,524.4295798332413,523.0703041517826,523.6966666666666,524.3230291815506,0.23920813507209213,0.255200335764507,1,0,1,1,528.8158000000001
2024-05-30 17:15:00+02:00,523.39,523.89,523.35,523.86,2924.91,47.8489796709997,0.47189111929930544,525.9421970099003,524.3928327472257,523.1578211319799,523.6393333333333,524.1208455346867,0.18390986723181194,0.7291392264271436,1,0,0,0,0.0
2024-05-30 17:20:00+02:00,523.86,523.89,523.61,523.73,1969.37,45.21635591607394,0.44447810225654366,525.8983911285161,524.3500693441789,523.2233198199955,523.5933333333334,523.9633468466712,0.14133622022353765,0.6846779397781856,1,0,1,1,529.1289
2024-05-30 17:25:00+02:00,523.73,524.0,523.72,523.95,2948.75,50.35264061179682,0.420981230505605,525.8598091259712,524.3242584187481,523.2206757062519,523.614,524.0073242937482,0.1502344451249015,0.9271284603324764,1,0,0,0,0.0
2024-05-30 17:30:00+02:00,523.95,524.37,523.88,524.33,3286.92,57.923662579398176,0.43084105471909123,525.8295158759519,524.324628843345,523.178212296068,523.6533333333333,524.1284543705987,0.181463959845707,1.2120992479741723,1,1,0,0,0.0
2024-05-30 17:35:00+02:00,524.35,524.38,523.92,524.11,3668.87,52.74913974270078,0.4350066183306548,525.7954660566261,524.3107818211937,523.1760567951509,523.6553333333334,524.1346098715159,0.18305037977237798,0.9743260210387358,1,0,0,0,0.0
2024-05-30 17:40:00+02:00,524.1,524.31,523.93,523.95,1931.79,49.19762804025193,0.4271485299977035,525.7589221743167,524.287505574665,523.1777785326957,523.6519999999999,524.1262214673042,0.18112084640342543,0.8141991880862451,1,0,2,0,518.6907
2024-05-30 17:45:00+02:00,523.95,524.08,523.84,523.86,2556.31,47.21098013868684,0.40041302571231857,525.7213197550233,524.259924569848,523.1894437626486,523.6693333333334,524.1492229040182,0.18327961564223896,0.6986568143109961,1,0,0,0,0.0
2024-05-30 17:50:00+02:00,523.85,524.04,523.78,523.87,1342.35,47.472844023444665,0.3803540220391289,525.684659957894,524.2347681459868,523.2298187523797,523.7013333333333,524.1728479142869,0.180070032647196,0.6788562575579236,1,0,0,0,0.0
2024-05-30 17:55:00+02:00,523.86,523.95,523.69,523.7,1276.38,43.40573739639833,0.363160590319252,525.6453597607081,524.2002669752779,523.2654758994227,523.7213333333334,524.1771907672442,0.17408396599365214,0.47660087151552727,1,0,0,0,0.0
