Local time,Open,High,Low,Close,Volume
02.05.2023 16:25:00.000 GMT+0200,201.296,201.637,201.036,201.226,21.42
02.05.2023 16:30:00.000 GMT+0200,201.347,201.446,200.996,201.146,25.939999999999998
02.05.2023 16:35:00.000 GMT+0200,201.147,201.316,200.777,201.227,30.18
02.05.2023 16:40:00.000 GMT+0200,201.227,201.396,200.886,201.006,28.240000000000002
02.05.2023 16:45:00.000 GMT+0200,201.037,201.166,200.766,201.137,27.240000000000002
02.05.2023 16:50:00.000 GMT+0200,201.137,201.407,200.436,200.876,23.35
02.05.2023 16:55:00.000 GMT+0200,200.876,200.957,200.526,200.527,21.429999999999996
02.05.2023 17:00:00.000 GMT+0200,200.526,200.716,200.056,200.597,27.779999999999998
02.05.2023 17:05:00.000 GMT+0200,200.597,200.886,200.516,200.787,18.970000000000002
02.05.2023 17:10:00.000 GMT+0200,200.777,201.106,200.776,201.027,16.669999999999998
02.05.2023 17:15:00.000 GMT+0200,201.077,201.496,200.896,201.336,18.009999999999998
02.05.2023 17:20:00.000 GMT+0200,201.296,201.606,201.107,201.537,16.91
02.05.2023 17:25:00.000 GMT+0200,201.626,201.957,201.146,201.626,19.27
02.05.2023 17:30:00.000 GMT+0200,201.626,201.716,201.116,201.566,20.990000000000002
02.05.2023 17:35:00.000 GMT+0200,201.566,201.636,201.236,201.386,17.94
02.05.2023 17:40:00.000 GMT+0200,201.446,202.147,201.237,201.997,22.870000000000005
02.05.2023 17:45:00.000 GMT+0200,202.007,202.337,201.897,202.277,23.200000000000003
02.05.2023 17:50:00.000 GMT+0200,202.187,202.277,201.626,202.157,18.930000000000003
02.05.2023 17:55:00.000 GMT+0200,202.136,202.237,201.767,201.967,16.02
02.05.2023 18:00:00.000 GMT+0200,202.066,202.077,201.626,201.747,20.02
02.05.2023 18:05:00.000 GMT+0200,201.746,201.827,201.466,201.567,16.91
02.05.2023 18:10:00.000 GMT+0200,201.636,201.767,201.367,201.767,14.93
02.05.2023 18:15:00.000 GMT+0200,201.767,201.827,201.416,201.827,15.98
02.05.2023 18:20:00.000 GMT+0200,201.826,201.857,201.456,201.826,11.35
02.05.2023 18:25:00.000 GMT+0200,201.826,202.137,201.826,201.847,14.7
02.05.2023 18:30:00.000 GMT+0200,201.836,202.047,201.617,201.617,17.73
02.05.2023 18:35:00.000 GMT+0200,201.646,202.136,201.617,202.077,21.4
02.05.2023 18:40:00.000 GMT+0200,202.087,202.247,201.826,202.057,17.89
02.05.2023 18:45:00.000 GMT+0200,202.057,202.217,201.836,202.077,12.61
02.05.2023 18:50:00.000 GMT+0200,202.087,202.597,202.086,202.526,14.810000000000002
02.05.2023 18:55:00.000 GMT+0200,202.526,202.596,202.306,202.596,9.76
02.05.2023 19:00:00.000 GMT+0200,202.627,202.797,202.626,202.737,21.83
02.05.2023 19:05:00.000 GMT+0200,202.736,202.877,202.586,202.677,9.05
02.05.2023 19:10:00.000 GMT+0200,202.676,203.057,202.566,202.916,16.87
02.05.2023 19:15:00.000 GMT+0200,202.917,202.987,202.476,202.577,19.500000000000004
02.05.2023 19:20:00.000 GMT+0200,202.516,202.657,202.376,202.646,16.13
02.05.2023 19:25:00.000 GMT+0200,202.646,202.906,202.476,202.726,10
02.05.2023 19:30:00.000 GMT+0200,202.726,202.887,202.566,202.756,15.62
02.05.2023 19:35:00.000 GMT+0200,202.737,203.026,202.736,202.956,18.55
02.05.2023 19:40:00.000 GMT+0200,202.957,203.047,202.906,202.986,14.15
02.05.2023 19:45:00.000 GMT+0200,202.986,203.207,202.756,203.127,9.83
02.05.2023 19:50:00.000 GMT+0200,203.127,203.557,203.126,203.217,20.53
02.05.2023 19:55:00.000 GMT+0200,203.217,203.316,202.877,202.976,15.850000000000001
02.05.2023 20:00:00.000 GMT+0200,202.977,202.997,202.437,202.677,22.29
02.05.2023 20:05:00.000 GMT+0200,202.646,202.837,202.576,202.626,15.52
02.05.2023 20:10:00.000 GMT+0200,202.737,202.907,202.456,202.617,21.550000000000004
02.05.2023 20:15:00.000 GMT+0200,202.657,202.967,202.456,202.936,14.64
02.05.2023 20:20:00.000 GMT+0200,202.936,202.977,202.577,202.716,20.84
02.05.2023 20:25:00.000 GMT+0200,202.617,202.897,202.526,202.807,14.249999999999998
02.05.2023 20:30:00.000 GMT+0200,202.807,202.896,202.456,202.606,19.22
02.05.2023 20:35:00.000 GMT+0200,202.606,202.876,202.526,202.767,17.130000000000003
02.05.2023 20:40:00.000 GMT+0200,202.766,202.807,202.516,202.746,15.450000000000001
02.05.2023 20:45:00.000 GMT+0200,202.747,203.107,202.596,202.946,22.9
02.05.2023 20:50:00.000 GMT+0200,202.946,203.226,202.716,203.026,21.090000000000003
02.05.2023 20:55:00.000 GMT+0200,203.027,203.027,202.796,202.937,14.34
02.05.2023 21:00:00.000 GMT+0200,202.907,202.987,202.446,202.617,16.43
02.05.2023 21:05:00.000 GMT+0200,202.617,202.927,202.556,202.826,16.52
02.05.2023 21:10:00.000 GMT+0200,202.846,203.406,202.837,203.316,23.96
02.05.2023 21:15:00.000 GMT+0200,203.317,203.377,203.017,203.277,24.07
02.05.2023 21:20:00.000 GMT+0200,203.277,203.747,203.236,203.527,20.21
02.05.2023 21:25:00.000 GMT+0200,203.636,203.787,203.456,203.496,18.21
02.05.2023 21:30:00.000 GMT+0200,203.506,203.557,203.156,203.286,20.810000000000002
02.05.2023 21:35:00.000 GMT+0200,203.236,203.797,203.206,203.457,29.82
02.05.2023 21:40:00.000 GMT+0200,203.427,203.637,203.346,203.586,27.009999999999998
02.05.2023 21:45:00.000 GMT+0200,203.517,203.577,203.136,203.307,29.42
02.05.2023 21:50:00.000 GMT+0200,202.806,203.537,202.806,203.466,39.28
02.05.2023 21:55:00.000 GMT+0200,203.467,203.527,203.136,203.177,47.5
03.05.2023 15:30:00.000 GMT+0200,203.517,204.827,203.516,204.406,35.69
03.05.2023 15:35:00.000 GMT+0200,204.407,205.067,204.067,204.207,30.699999999999996
03.05.2023 15:40:00.000 GMT+0200,204.206,204.297,203.196,203.236,31.400000000000002
03.05.2023 15:45:00.000 GMT+0200,203.236,204.046,203.206,203.876,20.89
03.05.2023 15:50:00.000 GMT+0200,203.876,204.337,203.876,204.216,15.57
03.05.2023 15:55:00.000 GMT+0200,204.217,204.337,203.866,203.867,12.620000000000001
03.05.2023 16:00:00.000 GMT+0200,203.866,204.537,203.866,204.437,23.94
03.05.2023 16:05:00.000 GMT+0200,204.457,205.567,204.457,205.427,30.05
03.05.2023 16:10:00.000 GMT+0200,205.426,205.662,204.926,205.207,25.4
